1;2;3;4;5;6;7;8;9; gemiddeld; fouten
Daniel;;;;;;;;;;
755ms;479ms;625ms;327ms;307ms;484ms;223ms;421ms;111ms;414.6666666666667ms;2
612ms;809ms;638ms;393ms;937ms;666ms;563ms;513ms;966ms;677.4444444444445ms;3
499ms;708ms;426ms;424ms;445ms;832ms;800ms;463ms;747ms;593.7777777777778ms;2
619ms;647ms;474ms;475ms;663ms;766ms;734ms;604ms;515ms;610.7777777777778ms;0
457ms;778ms;497ms;760ms;537ms;392ms;817ms;667ms;526ms;603.4444444444445ms;1
Leo;;;;;;;;;;
954ms;876ms;902ms;747ms;718ms;830ms;788ms;793ms;775ms;820.3333333333334ms;0
795ms;782ms;825ms;759ms;692ms;834ms;813ms;771ms;797ms;785.3333333333334ms;0
718ms;740ms;714ms;694ms;655ms;775ms;716ms;668ms;766ms;716.2222222222222ms;0
869ms;667ms;669ms;617ms;869ms;631ms;683ms;750ms;775ms;725.5555555555555ms;0
611ms;666ms;610ms;785ms;763ms;645ms;737ms;747ms;707ms;696.7777777777778ms;0
;;;;;;;;;;
QuinnN;;;;;;;;;;
1110ms;955ms;1062ms;866ms;870ms;930ms;1541ms;1220ms;917ms;1052.3333333333333ms;0
1161ms;835ms;815ms;682ms;834ms;817ms;800ms;722ms;866ms;836.8888888888889ms;0
829ms;744ms;867ms;733ms;602ms;1137ms;928ms;955ms;763ms;839.7777777777778ms;0
831ms;867ms;633ms;873ms;482ms;679ms;816ms;870ms;780ms;759.0ms;0
767ms;621ms;689ms;970ms;579ms;622ms;820ms;822ms;794ms;742.6666666666666ms;0
Sylvan;;;;;;;;;;
1498ms;1103ms;1599ms;948ms;917ms;966ms;965ms;1028ms;850ms;1097.111111111111ms;0
1029ms;951ms;846ms;866ms;1194ms;930ms;848ms;1523ms;991ms;1019.7777777777778ms;0
980ms;1074ms;1069ms;793ms;739ms;856ms;789ms;907ms;837ms;893.7777777777778ms;0
1015ms;916ms;913ms;906ms;1075ms;959ms;899ms;887ms;959ms;947.6666666666666ms;0
931ms;766ms;774ms;999ms;710ms;631ms;873ms;1012ms;916ms;845.7777777777778ms;0
Job;;;;;;;;;;
820ms;886ms;872ms;1473ms;822ms;882ms;1037ms;1086ms;825ms;967.0ms;0
773ms;946ms;1564ms;781ms;803ms;940ms;1183ms;929ms;817ms;970.6666666666666ms;1
930ms;843ms;830ms;705ms;701ms;716ms;463ms;945ms;775ms;767.5555555555555ms;1
823ms;781ms;832ms;659ms;676ms;866ms;791ms;859ms;617ms;767.1111111111111ms;0
772ms;640ms;787ms;566ms;789ms;675ms;797ms;706ms;681ms;712.5555555555555ms;0
Marnix;;;;;;;;;;
1013ms,1396ms,969ms,1083ms,855ms,918ms,864ms,1577ms,763ms,1048.6666666666667ms,0
1175ms,959ms,803ms,918ms,808ms,1083ms,882ms,940ms,952ms,946.6666666666666ms,0
795ms,759ms,841ms,858ms,743ms,959ms,784ms,876ms,858ms,830.3333333333334ms,0
997ms,872ms,879ms,971ms,781ms,761ms,982ms,835ms,830ms,878.6666666666666ms,0
776ms,788ms,886ms,834ms,869ms,859ms,883ms,851ms,868ms,846.0ms,0
Quint;;;;;;;;;;
1423ms,1260ms,4039ms,2456ms,1245ms,1552ms,1103ms,3050ms,1036ms,1907.111111111111ms,0
1986ms,967ms,1057ms,1013ms,2106ms,1359ms,984ms,1422ms,1084ms,1330.888888888889ms,0
1486ms,1100ms,1544ms,921ms,908ms,1555ms,919ms,1159ms,873ms,1162.7777777777778ms,0
1142ms,873ms,1279ms,822ms,901ms,1033ms,1257ms,1508ms,946ms,1084.5555555555557ms,0
1127ms,1140ms,948ms,979ms,1002ms,960ms,1070ms,1075ms,1077ms,1042.0ms,0
Meisje;;;;;;;;;;
1065ms,893ms,1015ms,881ms,1074ms,948ms,1003ms,1103ms,1102ms,1009.3333333333334ms,0
923ms,1186ms,868ms,956ms,829ms,790ms,815ms,1129ms,822ms,924.2222222222222ms,0
843ms,795ms,816ms,764ms,633ms,802ms,777ms,983ms,880ms,810.3333333333334ms,0
1151ms,820ms,760ms,737ms,734ms,778ms,1440ms,819ms,770ms,889.8888888888889ms,2
Sep;;;;;;;;;;
1886ms,1359ms,1367ms,1351ms,1207ms,1585ms,1302ms,1600ms,1581ms,1470.888888888889ms,0
1160ms,1116ms,1070ms,1035ms,1300ms,1257ms,1105ms,1083ms,928ms,1117.111111111111ms,0
927ms,1000ms,1167ms,883ms,583ms,1070ms,909ms,1029ms,1004ms,952.4444444444445ms,0
905ms,902ms,892ms,939ms,856ms,909ms,841ms,923ms,1106ms,919.2222222222222ms,0
1035ms,853ms,1128ms,994ms,837ms,1298ms,992ms,988ms,1072ms,1021.8888888888889ms,0
Meisje2;;;;;;;;;;
1589ms,1177ms,1169ms,1581ms,1078ms,1020ms,953ms,1122ms,940ms,1181.0ms,0
1094ms,983ms,1800ms,817ms,822ms,1067ms,1030ms,1391ms,878ms,1098.0ms,0
1061ms,966ms,1100ms,850ms,766ms,1056ms,967ms,1035ms,794ms,955.0ms,0
1598ms,850ms,963ms,957ms,759ms,1119ms,1129ms,915ms,1092ms,1042.4444444444443ms,0
1566ms,942ms,999ms,748ms,722ms,587ms,997ms,992ms,1038ms,954.5555555555555ms,1
Gijs;;;;;;;;;;
1653ms,1208ms,1058ms,1554ms,1000ms,1235ms,1031ms,1742ms,982ms,1273.6666666666667ms,0
1077ms,1100ms,1160ms,997ms,999ms,1090ms,984ms,997ms,959ms,1040.3333333333333ms,0
972ms,872ms,1095ms,902ms,712ms,1084ms,713ms,899ms,565ms,868.2222222222222ms,0
942ms,926ms,893ms,1080ms,769ms,816ms,848ms,777ms,1160ms,912.3333333333334ms,0
1102ms,746ms,807ms,638ms,878ms,842ms,880ms,879ms,1067ms,871.0ms,0
Milo;;;;;;;;;;
1181ms,1076ms,1303ms,1147ms,1092ms,1190ms,1056ms,1479ms,1757ms,1253.4444444444443ms,0
1055ms,1067ms,819ms,814ms,956ms,861ms,855ms,4734ms,2379ms,1504.4444444444443ms,3
1258ms,916ms,1340ms,903ms,1066ms,933ms,1015ms,3009ms,862ms,1255.7777777777778ms,0
1550ms,976ms,858ms,981ms,2141ms,3659ms,961ms,1133ms,3335ms,1732.6666666666667ms,0
1299ms,2092ms,962ms,1112ms,1023ms,1151ms,914ms,1040ms,1123ms,1190.6666666666667ms,1
